method,n_test_total,accuracy,balanced_accuracy,macro_f1
persistence,1700,0.9623529411764706,0.9443312700374957,0.9490222640304147
majority_class,1700,0.2570588235294118,0.25,0.10224613944782406
logistic_regression,1700,0.6764705882352942,0.5627175812678455,0.5594911645620245
decision_tree,1700,0.8405882352941176,0.7327763384389677,0.7215470944749247
