pair,n_days_compared,latest_date,latest_90d_absorbed,latest_90d_dropped,latest_delta,mean_abs_delta_90d,max_abs_delta_90d,full_period_absorbed,full_period_dropped,full_period_delta
BTC_NASDAQ,2078,2026-09-17,0.37953914982041426,0.30961455015099787,-0.06992459966941639,0.03821034994509366,0.17436265149940727,0.3245813748849758,0.34272779402384523,0.01814641913886944
BTC_GOLD,2078,2026-09-17,0.5779222241638391,0.5528084327107123,-0.025113791453126755,0.03928681537189192,0.1408187184475369,0.13544074147119048,0.13760432226976166,0.0021635807985711797
BTC_DXY,2078,2026-09-17,-0.408616552527045,-0.43785078402079647,-0.029234231493751484,0.0332485057847717,0.15080391110208413,-0.12895157233546042,-0.13048285006827715,-0.0015312777328167215
