stage,n_runs,median_run_length_days,pct_runs_shorter_than_min_days,n_day_to_day_flips,pct_days_flipped
raw,79,7.0,63.29113924050633,78,3.7554164660568126
filtered,16,102.0,0.0,15,0.7221954742416947
