pair,n_days_compared,mean_abs_difference,max_abs_difference,date_of_max_difference,notable_difference_threshold,n_days_notable,share_days_notable,latest_date,latest_pearson_90d,latest_spearman_90d
BTC_NASDAQ,2078,0.05657807947011378,0.5321031479350192,2020-03-13,0.1,269,0.12945139557266602,2026-09-17,0.37953914982041426,0.3832489607770506
BTC_GOLD,2078,0.05058962742862742,0.2328613220432515,2020-03-12,0.1,271,0.13041385948026948,2026-09-17,0.5779222241638391,0.5747787792731612
BTC_DXY,2078,0.04339550049471362,0.2508574196412826,2024-11-11,0.1,236,0.11357074109720885,2026-09-17,-0.408616552527045,-0.34594394369675263
