date,corr_30_BTC_NASDAQ,corr_30_BTC_GOLD,corr_30_BTC_DXY,corr_90_BTC_NASDAQ,corr_90_BTC_GOLD,corr_90_BTC_DXY,realized_vol_20,btc_momentum_20,dxy_change_20,real_yield_change_20,fng_level,fng_change_14,regime_RISK_ASSET,regime_HARD_ASSET,regime_IDIOSYNCRATIC,regime_MIXED,current_regime_label,target_regime_label
2018-06-12,-0.057040504124201356,0.0844332192376295,-0.14425238294204376,0.12507347600207863,-0.11328119365650319,-0.061781540057888065,0.47159199329884943,-0.28085773248692636,1.2100067138671733,-0.020000000000000018,19.0,-11.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-06-13,-0.03938619311474144,0.06331178752071841,-0.13511873507774733,0.11641751639360048,-0.1349921138224203,-0.04905043780441056,0.47656845950977944,-0.2928475317974803,0.48999786376953125,-0.040000000000000036,19.0,-7.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-06-14,0.049407717751182696,0.08649375842760434,0.07604783418055996,-0.03396739299106389,-0.12188439308190933,0.030550965089249243,0.5261894924751385,-0.2260924471215703,1.3799972534179688,-0.10000000000000009,17.0,-10.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-06-15,0.12690426224106283,0.07216022387258439,0.12307712558488139,-0.07766929100637081,-0.0576279932914384,0.03354159277842696,0.52617384086924,-0.2260627814719398,1.3199996948242188,-0.1399999999999999,26.0,1.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-06-18,0.08388252130309193,0.0523805898372731,0.09537317028764929,-0.0815598943212139,-0.0628427845642626,0.03808241985704502,0.5485277410690707,-0.2030396787057248,1.1100006103515625,-0.10999999999999999,27.0,11.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-06-19,0.09230467350245147,0.05282671417264172,0.11563988259680927,-0.015186362760963206,-0.070778225633032,0.04489585258948251,0.5404954574841192,-0.21799768080347204,1.4099960327148438,-0.13,32.0,-6.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-06-20,0.1003916509042472,0.04557583297766057,0.11722857557725695,-0.031517127013015615,-0.06883454800867515,0.03837981153091952,0.5264502313493665,-0.17118233094084345,1.4499969482422017,-0.09999999999999998,34.0,9.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-06-21,0.06100315729734092,0.04924555734055549,0.12336924116924718,-0.038626465772620806,-0.07417050133446122,0.04420998895770284,0.4890727559539752,-0.11604622081071886,0.8600006103515625,-0.07999999999999996,37.0,13.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-06-22,0.1397193637868259,0.012600179835599976,0.18887932486141137,-0.02737589074466164,-0.07583467427380454,0.05698598712143934,0.5874464259951355,-0.22086963810768545,0.7399978637695312,-0.07999999999999996,28.0,-13.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-06-25,-0.011826174967572073,-0.005905718748944672,0.1314594382633736,-0.08353655137352108,-0.16302166077540575,0.10303378284313681,0.6016516883243836,-0.1798012433968112,0.08999633789063921,-0.06999999999999995,16.0,-10.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-06-26,-0.021842829452863925,0.027475930522462947,0.12049558572316421,-0.11251115816405685,-0.1671690948489955,0.135339438867754,0.6034272194004008,-0.20399112370356562,-0.15000152587889204,0.030000000000000027,21.0,-21.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-06-27,-0.08110905243896116,-0.03394755717126289,0.17385118767814697,-0.11621760002784488,-0.16870161844997691,0.1369470367213035,0.6076144660498712,-0.18474995515180628,1.1399993896484375,-0.06000000000000005,18.0,-20.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-06-28,-0.10499200432605339,-0.020356079427302408,0.17084120797583732,-0.12335065335927974,-0.10890200973003696,0.09058325268488496,0.6126976362685427,-0.23859015257827798,1.4000015258789205,-0.020000000000000018,20.0,-20.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-06-29,-0.10566364953162329,0.05173382300344492,0.028430625014087777,-0.12630486390371107,-0.10763686092543927,0.06589879099619886,0.6491037857456298,-0.192917971033782,0.43999481201171875,-0.06000000000000005,16.0,1.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-07-02,-0.028780173731417766,-0.08061851069610289,0.05105447065610087,-0.11695499561827412,-0.1187405278106194,0.05688388173195979,0.6945198426779672,-0.12761466792893472,0.8500061035156392,-0.08999999999999997,27.0,8.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-07-03,-0.038329632136136146,-0.09286511921810375,0.05422003987859653,-0.13042283443070726,-0.11990676277423873,0.05673881980821461,0.6900735602390182,-0.15623635457275586,0.6999969482421875,-0.08000000000000007,31.0,12.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
