pair,n_days_compared,std_30d,std_90d,min_30d,max_30d,min_90d,max_90d,mean_abs_difference,share_days_sign_differs
BTC_NASDAQ,2078,0.2656346628230109,0.23572808787629945,-0.49713085603689544,0.8263151986211893,-0.3144012502754587,0.6748656331748336,0.11668112848816876,0.11597690086621752
BTC_GOLD,2078,0.24405508250580338,0.17648715214461683,-0.5825587958082712,0.7175874806646602,-0.2548889586089949,0.5937986231666362,0.12491057759984038,0.16506256015399423
BTC_DXY,2078,0.22882907267164265,0.1535586143598899,-0.7902939942139217,0.5328227992457713,-0.503439035118828,0.21590465146313612,0.13889128084247446,0.22906641000962463
