sentiment_bucket,n_days,avg_forward_20d_log_return,stddev_forward_20d_log_return
Fear,625,-0.00811421277910777,0.1865516004454412
Greed,536,0.030408916742584093,0.18441854680964087
Extreme Fear,505,0.0193591635849711,0.1642828525831475
Neutral,288,0.008555638151736537,0.1935241764707061
Extreme Greed,193,0.0970469049055139,0.20814142638329902
,1,0.07850253456258127,0.0
