regime_id,regime_label,start_date,end_date,n_days,btc_annualized_return,btc_annualized_volatility,btc_max_drawdown,avg_fng_value
1,IDIOSYNCRATIC,2018-06-12,2019-03-27,199,-0.4854382269159834,0.5946868208772487,-0.6151019561692339,31.271356783919597
2,MIXED,2019-03-28,2019-10-25,148,2.591879310648908,0.8169392788862078,-0.4242965945239196,49.608108108108105
3,IDIOSYNCRATIC,2019-10-28,2020-03-11,93,-0.21744461967897932,0.509154643804261,-0.29563690600491904,40.58064516129032
4,RISK_ASSET,2020-03-12,2020-08-18,111,1.5705787792333017,0.9525054302560284,-0.13562981858826312,40.414414414414416
5,HARD_ASSET,2020-08-19,2020-12-11,81,2.5747134662467546,0.5398329559451879,-0.15362476208967862,67.79012345679013
6,MIXED,2020-12-14,2021-01-12,20,2816.796875446618,0.9220633054636101,-0.16850615864057597,91.65
7,IDIOSYNCRATIC,2021-01-13,2021-05-11,82,3.8495249253408943,0.7944857239153921,-0.22340847587449547,72.59756097560975
8,MIXED,2021-05-12,2022-01-10,169,-0.36489999706484155,0.7367396292874199,-0.4024252634243208,43.0887573964497
9,RISK_ASSET,2022-01-11,2023-03-22,300,-0.30095938970984326,0.6539978680565559,-0.6673961608979899,29.956666666666667
10,MIXED,2023-03-23,2023-06-02,50,-0.010631069684896799,0.3870773242365303,-0.1361582960453153,56.98
11,IDIOSYNCRATIC,2023-06-05,2024-07-08,274,0.9620417258599145,0.48616208397977273,-0.22468990948709353,61.846715328467155
12,MIXED,2024-07-09,2024-08-07,22,-0.2910712019843137,0.6829297388559649,-0.2049798659663738,52.04545454545455
13,RISK_ASSET,2024-08-08,2025-08-18,257,1.0821050133688535,0.45378027570518303,-0.28144478116207866,57.474708171206224
14,MIXED,2025-08-19,2025-09-29,29,-0.13024431434788974,0.3518965943141948,-0.07241340055934929,49.06896551724138
15,RISK_ASSET,2025-09-30,2026-08-05,213,-0.4914413940727569,0.4462564458839284,-0.5305998300134692,24.854460093896712
16,HARD_ASSET,2026-08-06,2026-09-17,30,3.095928990291161,0.40061389082165066,-0.0696334817327248,54.2
